HIGHDEG,ICLEVEL,SAT_AVG_ALL,ADM_RATE_ALL,TUITFTE,CONTROL,GRAD_DEBT_MDN,COMP_ORIG_YR4_RT,PCTFLOAN,MD_EARN_WNE_P8,CDR3,DEP_INC_AVG,UG25ABV,UGDS,PAR_ED_PCT_PS,RPY_3YR_RT,ATDCOST
2.0,2.0,1131.868386961774,0.8577984099978346,7677.0,3.0,7377.0,0.713836477987,0.6184,30573.0,0.007,49774.258242,0.6246,317.0,0.5232273839,0.4457236842,21259.0
1.0,3.0,1024.015871362841,0.8749714301614204,10287.0,3.0,13000.0,0.532894736842,0.524,22612.0,0.044,35884.176393,0.4058,138.0,0.4301282051,0.2879914984,19722.0
2.0,2.0,1102.5867150398828,0.7959397675661462,9031.0,3.0,9500.0,0.665391156463,0.5819,32836.0,0.047,35761.796933,0.4731,1281.0,0.4451649281,0.3293361884,31592.0
2.0,2.0,1129.5746798343296,0.7009956313201033,13101.0,3.0,9500.0,0.665391156463,0.616,32836.0,0.047,35761.796933,0.5465,591.0,0.4451649281,0.3293361884,46690.0
2.0,2.0,1122.1883280135778,0.7451425544523285,9454.0,3.0,9500.0,0.665391156463,0.6148,32836.0,0.047,35761.796933,0.4468,517.0,0.4451649281,0.3293361884,42772.0
1.0,3.0,1058.606184541262,0.8340759390310182,8932.0,3.0,5250.0,0.526315789474,0.5904,17214.0,0.0,29901.0,0.4792,48.0,0.4946236559,0.2535211268,17079.0
1.0,3.0,1014.2024956526321,0.7766300313861354,11309.0,3.0,15917.0,0.464520048603,0.5053,27661.0,0.035,33068.647321,0.5779,398.0,0.4137681159,0.3413775767,25866.0
4.0,1.0,1080.1006117189868,0.8010446016111412,15547.0,3.0,9500.0,0.603946441156,0.759,25946.0,0.029,29905.489796,0.717,1000.0,0.4409672831,0.2092039801,36627.0
4.0,1.0,1334.4371806712945,0.86360587857934,18530.0,1.0,19500.0,0.492382068561,0.3051,54245.0,0.015,74432.335342,0.0936,64216.0,0.6186820795,0.5848558828,26992.0
2.0,2.0,1108.0107933844865,0.7742390069466769,1211.0,1.0,4826.0,0.093396226415,0.0049,32032.0,0.033,28165.348178,0.2351,7388.0,0.3892353134,0.3570451436,15598.0
4.0,1.0,1230.0,0.87269322792052,14180.0,1.0,19620.0,0.499116749639,0.2882,52179.0,0.016,78939.600374,0.1419,36560.0,0.6859270431,0.6562777285,27985.0
2.0,2.0,1068.6386613136217,0.7042006843318345,1541.0,1.0,10010.0,0.121170864534,0.0444,35768.0,0.008,34244.82005,0.3689,4388.0,0.501807955,0.2935548842,10402.0
1.0,3.0,1107.1051427189402,0.9019716128113998,8278.0,3.0,7388.0,0.594594594595,0.5747,21015.0,0.11,53266.619048,0.625,56.0,0.5076923077,0.4418604651,14582.0
2.0,2.0,1075.8856375667629,0.6958355138308292,1038.0,1.0,6750.0,0.289617486339,0.0601,33311.0,0.029,28673.556004,0.3527,2922.0,0.5137614679,0.4121863799,12103.0
1.0,3.0,1060.9556876956303,0.7931335355987461,9448.0,3.0,10667.0,0.532075471698,0.4304,21823.0,0.048,41525.139151,0.5349,43.0,0.4986087924,0.2978723404,21258.0
1.0,3.0,1138.1770014093559,0.8819521913254379,7080.0,3.0,6332.0,0.576576576577,0.6123,24851.0,0.035,51944.116776,0.3528,377.0,0.5113947129,0.3393708294,22898.0
2.0,2.0,1055.3712600448832,0.5565344340318297,1282.0,1.0,11188.650569854166,0.201157742402,0.0,33885.0,0.04522366757783658,31493.810738,0.4901,3187.0,0.6065292096,0.38721539313489145,16509.0
4.0,1.0,1240.0,0.72428128523111,30059.0,2.0,23666.0,0.372737886748,0.381,74337.0,0.011,89514.958303,0.0626,3015.0,0.6445407279,0.6444394213,56260.0
4.0,1.0,1106.9568439326692,0.7661674977827027,4885.0,2.0,18817.694595387242,0.4323511341063708,0.44223558888713876,41787.3042127705,0.0,58051.82933736243,0.31513009460583974,5082.415662883272,0.6103740734699146,0.5231897727441535,28760.79320773552
2.0,2.0,1123.5569679980997,0.7064509382241133,1570.0,1.0,6960.0,0.043018867925,0.0874,37357.0,0.034,33701.101234,0.2909,10528.0,0.470313757,0.3519480519,15020.0
4.0,1.0,1270.4958741644082,0.82835517213314,11504.0,3.0,22114.0,0.388376103053,0.5497,37239.0,0.015,69175.827368,0.5297,64210.0,0.5255919467,0.3519825032,31393.0
2.0,2.0,1105.8194061573024,0.7062841499894001,2070.0,1.0,6750.0,0.216122307158,0.1244,39516.0,0.024,31740.559204,0.4689,3691.0,0.4337719298,0.3201856148,15327.0
2.0,2.0,1140.59134312623,0.6516870135632551,1959.0,1.0,7473.0,0.049382716049,0.086,37914.0,0.04,38760.413405,0.3251,12167.0,0.5421485088,0.3394398821,16002.0
2.0,2.0,1041.9428660867025,0.7290124020163369,2061.0,1.0,9700.0,0.196685082873,0.0807,31335.0,0.033,28333.343478,0.4669,2622.0,0.4639103013,0.3657243816,11046.0
1.0,2.0,1126.826730632843,0.7997710201400996,12836.0,3.0,13097.0,0.675300063171,0.5146,43938.0,0.037,53152.365271,0.534,779.0,0.4890978196,0.410058855,24621.0
3.0,1.0,972.797046890986,0.648780014368638,293.0,1.0,15480.268318084054,0.073964497041,0.0,25521.0,0.04572798071114371,25187.827251,0.5529,1224.0,0.5681063123,0.31568985410046846,14140.0
4.0,1.0,1210.0690718196877,0.78354170554207,7464.0,1.0,19000.0,0.532272456871,0.3447,47036.0,0.017,73244.956063,0.1595,23772.0,0.6131374244,0.5577914855,28480.0
2.0,2.0,1032.4365083450125,0.658389654130807,823.0,1.0,9920.361938148424,0.159029649596,0.0,30186.0,0.05160669140418103,25781.050193,0.2864,1124.0,0.5335628227,0.3462098151595418,14079.0
4.0,1.0,976.0,0.53168376584188,9998.0,2.0,21500.0,0.406649616368,0.6187,48052.0,0.019,68587.041045,0.759,348.0,0.5991316932,0.4652137469,23186.512507095307
2.0,2.0,1100.2738795329417,0.7502039487986154,1405.0,1.0,6750.0,0.08407079646,0.0987,35571.0,0.044,29203.514109,0.3766,6674.0,0.3842447603,0.2458264539,15974.0
2.0,2.0,1113.0989463413227,0.7085159721729477,2018.0,1.0,7000.0,0.177364864865,0.1062,34550.0,0.039,34069.289364,0.4051,13128.0,0.5223920266,0.3578495184,8648.0
3.0,1.0,1125.4971884495094,0.8449297841968303,8217.0,3.0,9500.0,0.692735703246,0.6179,34540.0,0.019,44704.752119,0.6503,2485.0,0.4946070878,0.4626200015,27152.006551363156
2.0,2.0,1149.2135278325575,0.8487802087994634,8924.0,3.0,5500.0,0.8,0.5565,28510.0,0.019,47570.733333,0.4655,782.0,0.5168539326,0.3381294964,26493.0
4.0,1.0,1194.8619961880588,0.99319727891156,13202.0,2.0,16300.0,0.330357142857,0.5355,33947.0,0.012,82030.468085,0.3196,383.0,0.7680412371,0.525390625,44892.0
2.0,2.0,1160.4784863455614,0.7466830730988399,15318.0,3.0,8233.0,0.661224489796,0.7014,48440.0,0.03,44654.952381,0.5819,1007.0,0.4774346793,0.3662131519,26915.0
2.0,2.0,1093.149699649013,0.687971747889554,2634.0,1.0,9500.0,0.034952813702,0.0598,35483.0,0.039,39786.295669,0.3107,3824.0,0.5267652572,0.2287994387,14123.0
1.0,3.0,1195.4023673912034,0.8435703827711093,16987.0,3.0,7254.244184831492,0.8028738022614341,0.4,24951.0,0.046,74634.666667,0.5833,12.0,0.5802921554577184,0.5769230769,25655.0
2.0,2.0,1127.022790595107,0.5972802703759124,2079.0,1.0,8000.0,0.162342475908,0.0735,41556.0,0.037,39916.257645,0.3284,4764.0,0.5976650202,0.388720027,16557.0
2.0,2.0,1076.876266246367,0.7541543327503495,1223.0,1.0,8000.0,0.011162790698,0.0772,34132.0,0.04,30562.17207,0.2744,2395.0,0.4104882459,0.2157534247,15440.0
3.0,1.0,1043.0,0.75941080196399,13178.0,2.0,23000.0,0.296296296296,0.7514,42468.0,0.043,61651.677083,0.1111,1012.0,0.6174496644,0.5551470588,47850.0
2.0,2.0,1144.7975596056938,0.8407006342679415,16447.0,3.0,13124.0,0.664917069074,0.5342,47765.0,0.031,52781.129134,0.2085,1995.0,0.4513946424,0.4811762665,28767.0
2.0,2.0,1078.937323735439,0.6880367679768467,2391.0,1.0,9000.0,0.185633575464,0.0569,35149.0,0.037,34160.199134,0.4592,4004.0,0.5,0.3660079051,12567.0
4.0,1.0,1119.0,0.57686212361331,5489.0,1.0,22000.0,0.289168765743,0.4335,39905.0,0.008,48044.868137,0.3795,5025.0,0.6089595376,0.5772706733,20260.0
4.0,1.0,1220.4169491849539,0.5761694909131341,18169.0,1.0,14000.0,0.745,0.5157,67097.0,0.004,63010.030534,0.6476,1072.0,0.6049723757,0.8074074074,37463.463057910776
3.0,1.0,895.9444893319024,0.826202177996404,2956.0,2.0,25375.0,0.078651685393,0.6291,24755.0,0.076,24540.288722,0.186,414.0,0.5504710633,0.2544080605,22127.0
1.0,3.0,1017.7773503029385,0.7591927199619255,3368.0,3.0,6333.0,0.370967741935,0.5667,18017.0,0.0,11945.757576,0.3571,28.0,0.4459459459,0.3188405797,24926.0
1.0,3.0,1112.183442831957,1.0134935392618767,7408.0,3.0,5047.5563020747795,0.6826057423937517,0.473,17464.0,0.056,50730.277778,0.1818,33.0,0.4705882353,0.4186046512,14115.0
3.0,1.0,1163.0,0.27209492635024,8641.0,2.0,21500.0,0.082474226804,0.5895,40061.0,0.016,68280.881657,0.0276,576.0,0.7,0.6743295019,33415.0
1.0,3.0,949.0271550762384,0.8980109593310828,15864.0,3.0,16500.0,0.391304347826,0.75,17937.0,0.0,18581.565217,0.2258,62.0,0.3815789474,0.3706896552,26762.0
1.0,3.0,1033.4427421885377,0.9058065707143963,19816.0,3.0,10500.0,0.394366197183,0.7209,20751.0,0.038,35616.115385,0.36,25.0,0.4571428571,0.320754717,16565.0
4.0,1.0,1188.0,0.82671698816512,9843.0,1.0,21500.0,0.547314578005,0.3377,51538.0,0.012,95873.100131,0.0851,24001.0,0.7400385128,0.6712301975,23843.0
4.0,1.0,902.0,0.6752500532028,3925.0,1.0,24202.0,0.345297029703,0.5812,31889.0,0.036,33128.096999,0.0914,2444.0,0.6322624744,0.3661573288,18873.0
2.0,2.0,1091.5673029545878,0.7655586866430255,1639.0,1.0,8093.0,0.353971962617,0.1237,32092.0,0.013,38776.025271,0.1834,1787.0,0.5438381361,0.5303210464,15021.0
4.0,1.0,1149.0,0.63290488431876,4110.0,1.0,20500.0,0.396875,0.4526,36508.0,0.012,55808.378998,0.1922,7478.0,0.6117332035,0.5756867329,21752.0
4.0,1.0,1043.830103532731,0.94371180443872,4691.0,1.0,21000.0,0.390804597701,0.3223,37098.0,0.016,50494.428834,0.1405,6467.0,0.5425219941,0.5645795127,19857.0
4.0,1.0,1001.3766956537115,0.8550041204668586,4570.0,1.0,19971.0,0.209003215434,0.4541,31390.0,0.044,41387.29761,0.1975,1946.0,0.5466025256,0.4455292909,19028.0
1.0,3.0,1059.276170351389,0.9247323752449531,8800.0,3.0,9833.0,0.509090909091,0.6892,20387.0,0.0,42788.558824,0.2105,38.0,0.5393258427,0.4712643678,16429.0
2.0,2.0,1199.665790001011,0.0,5520.0,2.0,10000.0,0.732441471572,0.7943,52786.0,0.005,62596.759036,0.4595,666.0,0.5830449827,0.7012987013,24888.0
2.0,2.0,1053.6830570602829,0.7492279810027656,1836.0,1.0,9500.0,0.276231263383,0.1674,30503.0,0.028,32616.967146,0.3275,1068.0,0.5193026152,0.4469835466,13317.0
4.0,1.0,1133.0,0.9237246161466,5463.0,1.0,20346.0,0.391435986159,0.432,40211.0,0.009,57620.093431,0.0797,7763.0,0.6540410776,0.6233618234,21408.0
3.0,1.0,1059.0,0.6160458452722,9521.0,2.0,22250.0,0.203619909502,0.553,41243.0,0.02,61779.966165,0.164,546.0,0.6544502618,0.5753424658,27262.0
2.0,2.0,1067.3863995123872,0.8144149249395114,2274.0,1.0,5294.265508107332,0.483739837398,0.0,30409.0,0.04570169676573234,25583.279635,0.1949,858.0,0.4137931034,0.40313277326943475,11803.0
3.0,1.0,995.9647690224926,0.9405504847509207,8153.0,2.0,26228.0,0.272727272727,0.7592,35063.0,0.036,55119.177778,0.0152,170.0,0.6043165468,0.5267857143,23830.0
2.0,2.0,1061.5216884646384,0.7590506361799951,1733.0,1.0,6000.0,0.325657894737,0.061,25193.0,0.0,28989.418605,0.3409,606.0,0.4917127072,0.3229166667,13211.0
1.0,3.0,1063.58978569644,0.7941960855428372,4244.0,3.0,3412.0,0.645833333333,0.2599,22433.0,0.036,21489.227811,0.4516,62.0,0.4057815846,0.412,17158.0
1.0,3.0,1083.6851459980428,0.8491755108588293,11648.0,3.0,10725.0,0.636678200692,0.6885,21329.0,0.016,45981.355469,0.3545,330.0,0.5432098765,0.4253578732,27194.0
2.0,2.0,1038.6529167573292,0.7711931086818309,1832.0,1.0,10500.0,0.269727403156,0.3673,27996.0,0.034,30835.837466,0.3163,1903.0,0.5433386838,0.3684210526,14109.0
2.0,2.0,1044.0326788744492,0.7300753085955682,1385.0,1.0,10250.0,0.13734939759,0.115,28931.0,0.034,32456.115385,0.2292,698.0,0.5414285714,0.472406181,14176.0
4.0,1.0,1183.0,0.54136363636363,14384.0,2.0,26500.0,0.586021505376,0.4561,47243.0,0.01,90168.721746,0.0445,3262.0,0.7945205479,0.7277023036,33168.0
4.0,1.0,1084.0,0.75010517458981,3117.0,1.0,19500.0,0.33686440678,0.666,38516.0,0.024,47663.648855,0.1104,2205.0,0.6232616941,0.561760841,25533.0
4.0,1.0,1286.0,0.68301886792452,10396.0,2.0,26688.0,0.619402985075,0.4275,48437.0,0.012,89363.408537,0.0054,1103.0,0.8079331942,0.7620320856,55218.0
1.0,3.0,1007.5374609499595,0.7990316740139853,6428.0,3.0,9700.0,0.411764705882,0.675,16940.0,0.054,24525.684211,0.3176,85.0,0.5531914894,0.3714285714,18428.0
2.0,2.0,1209.289989039215,0.6602305000000595,4837.0,2.0,12000.0,0.75,0.3608,61756.0,0.038,61662.054054,0.303,66.0,0.5684999104026272,0.6375769265912146,31110.25947415018
4.0,1.0,1231.0,0.5286783042394,10590.0,2.0,21250.0,0.626146788991,0.3912,47906.0,0.004,81714.051527,0.0891,1381.0,0.7111716621,0.7462871287,41492.0
1.0,3.0,1087.6435111649691,0.995463936425856,9515.0,3.0,6365.0,0.552486187845,0.659,19457.0,0.05,42368.809859,0.4388,196.0,0.3911564626,0.3684210526,16868.0
1.0,3.0,1073.233676820559,0.8772266836342402,10797.0,3.0,4833.0,0.6879285857594246,0.6087,17322.0,0.0,31567.657895,0.3019,53.0,0.4949494949,0.396039604,20373.0
2.0,2.0,1021.5799700386319,0.763037868028897,2146.0,1.0,8648.401411046296,0.105392156863,0.0,26699.0,0.057650303309483765,20426.60241,0.1996,525.0,0.4055727554,0.28228796708262294,15083.0
2.0,2.0,1053.237046159485,0.806568064449477,1525.0,1.0,6100.242314674215,0.322580645161,0.0,29375.0,0.0,24748.856757,0.2677,786.0,0.4105461394,0.4390243902,10511.0
1.0,3.0,1049.6414145454153,0.7861216922309857,4011.0,3.0,1266.1019588312338,0.710526315789,0.2292,12560.0,0.106,17712.882353,0.5152,33.0,0.44,0.3962264151,16500.0
2.0,2.0,1062.3814302135663,0.7960978182131155,1768.0,1.0,9000.0,0.365351629503,0.0916,29220.0,0.06,33438.514548,0.2506,1161.0,0.4624881292,0.4002890173,15648.0
